# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Projetos\T2BA3_2025\Exp3\Desafio\circuito_exp3.csv
# Generated on: Mon Jan 20 11:34:42 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
chaves[3],Input,PIN_AA15,4A,B4A_N0,PIN_AA15,2.5 V,,,,,,,,,,,,,
chaves[2],Input,PIN_T12,4A,B4A_N0,PIN_T12,2.5 V,,,,,,,,,,,,,
chaves[1],Input,PIN_T13,4A,B4A_N0,PIN_T13,2.5 V,,,,,,,,,,,,,
chaves[0],Input,PIN_V13,4A,B4A_N0,PIN_V13,2.5 V,,,,,,,,,,,,,
clock,Input,PIN_N16,5B,B5B_N0,PIN_N16,2.5 V,,,,,,,,,,,,,
db_chaves[6],Output,PIN_AB21,4A,B4A_N0,PIN_AB21,2.5 V,,,,,,,,,,,,,
db_chaves[5],Output,PIN_AB22,4A,B4A_N0,PIN_AB22,2.5 V,,,,,,,,,,,,,
db_chaves[4],Output,PIN_V14,4A,B4A_N0,PIN_V14,2.5 V,,,,,,,,,,,,,
db_chaves[3],Output,PIN_Y14,4A,B4A_N0,PIN_Y14,2.5 V,,,,,,,,,,,,,
db_chaves[2],Output,PIN_AA10,3B,B3B_N0,PIN_AA10,2.5 V,,,,,,,,,,,,,
db_chaves[1],Output,PIN_AB17,4A,B4A_N0,PIN_AB17,2.5 V,,,,,,,,,,,,,
db_chaves[0],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,2.5 V,,,,,,,,,,,,,
db_contaC,Output,PIN_N1,2A,B2A_N0,PIN_N1,2.5 V,,,,,,,,,,,,,
db_contagem[6],Output,PIN_AA22,4A,B4A_N0,PIN_AA22,2.5 V,,,,,,,,,,,,,
db_contagem[5],Output,PIN_Y21,4A,B4A_N0,PIN_Y21,2.5 V,,,,,,,,,,,,,
db_contagem[4],Output,PIN_Y22,4A,B4A_N0,PIN_Y22,2.5 V,,,,,,,,,,,,,
db_contagem[3],Output,PIN_W21,4A,B4A_N0,PIN_W21,2.5 V,,,,,,,,,,,,,
db_contagem[2],Output,PIN_W22,4A,B4A_N0,PIN_W22,2.5 V,,,,,,,,,,,,,
db_contagem[1],Output,PIN_V21,4A,B4A_N0,PIN_V21,2.5 V,,,,,,,,,,,,,
db_contagem[0],Output,PIN_U21,4A,B4A_N0,PIN_U21,2.5 V,,,,,,,,,,,,,
db_estado[6],Output,PIN_W19,4A,B4A_N0,PIN_W19,2.5 V,,,,,,,,,,,,,
db_estado[5],Output,PIN_C2,2A,B2A_N0,PIN_C2,2.5 V,,,,,,,,,,,,,
db_estado[4],Output,PIN_C1,2A,B2A_N0,PIN_C1,2.5 V,,,,,,,,,,,,,
db_estado[3],Output,PIN_P14,4A,B4A_N0,PIN_P14,2.5 V,,,,,,,,,,,,,
db_estado[2],Output,PIN_T14,4A,B4A_N0,PIN_T14,2.5 V,,,,,,,,,,,,,
db_estado[1],Output,PIN_M8,3B,B3B_N0,PIN_M8,2.5 V,,,,,,,,,,,,,
db_estado[0],Output,PIN_N9,3B,B3B_N0,PIN_N9,2.5 V,,,,,,,,,,,,,
db_fimC,Output,PIN_U2,2A,B2A_N0,PIN_U2,2.5 V,,,,,,,,,,,,,
db_igual,Output,PIN_AA1,2A,B2A_N0,PIN_AA1,2.5 V,,,,,,,,,,,,,
db_iniciar,Output,PIN_W2,2A,B2A_N0,PIN_W2,2.5 V,,,,,,,,,,,,,
db_memoria[6],Output,PIN_U22,4A,B4A_N0,PIN_U22,2.5 V,,,,,,,,,,,,,
db_memoria[5],Output,PIN_AA17,4A,B4A_N0,PIN_AA17,2.5 V,,,,,,,,,,,,,
db_memoria[4],Output,PIN_AB18,4A,B4A_N0,PIN_AB18,2.5 V,,,,,,,,,,,,,
db_memoria[3],Output,PIN_AA18,4A,B4A_N0,PIN_AA18,2.5 V,,,,,,,,,,,,,
db_memoria[2],Output,PIN_AA19,4A,B4A_N0,PIN_AA19,2.5 V,,,,,,,,,,,,,
db_memoria[1],Output,PIN_AB20,4A,B4A_N0,PIN_AB20,2.5 V,,,,,,,,,,,,,
db_memoria[0],Output,PIN_AA20,4A,B4A_N0,PIN_AA20,2.5 V,,,,,,,,,,,,,
db_registraR,Output,PIN_L1,2A,B2A_N0,PIN_L1,2.5 V,,,,,,,,,,,,,
db_zeraC,Output,PIN_N2,2A,B2A_N0,PIN_N2,2.5 V,,,,,,,,,,,,,
db_zeraR,Output,PIN_L2,2A,B2A_N0,PIN_L2,2.5 V,,,,,,,,,,,,,
iniciar,Input,PIN_U13,4A,B4A_N0,PIN_U13,2.5 V,,,,,,,,,,,,,
pronto,Output,PIN_AA2,2A,B2A_N0,PIN_AA2,2.5 V,,,,,,,,,,,,,
reset,Input,PIN_B16,7A,B7A_N0,PIN_B16,2.5 V,,,,,,,,,,,,,
